('backend/dataset/LFW/lfw-deepfunneled/Mohammad_Fares/Mohammad_Fares_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Grady_Little/Grady_Little_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Alberta_Lee/Alberta_Lee_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Gilberto_Rodriguez_Orejuela/Gilberto_Rodriguez_Orejuela_0004.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Romano_Prodi/Romano_Prodi_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Joe_Vandever/Joe_Vandever_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Megawati_Sukarnoputri/Megawati_Sukarnoputri_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Megawati_Sukarnoputri/Megawati_Sukarnoputri_0025.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ibrahim_Hilal/Ibrahim_Hilal_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Roger_Penske/Roger_Penske_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/John_Kerry/John_Kerry_0016.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Silvan_Shalom/Silvan_Shalom_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Daniela_Hantuchova/Daniela_Hantuchova_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Jane_Fonda/Jane_Fonda_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Ethan_Hawke/Ethan_Hawke_0003.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Montgomerie/Colin_Montgomerie_0005.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Colin_Montgomerie/Colin_Montgomerie_0004.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Nancy_Pelosi/Nancy_Pelosi_0010.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Michelle_Pfeiffer/Michelle_Pfeiffer_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Rob_Moore/Rob_Moore_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Saeb_Erekat/Saeb_Erekat_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Zarai_Toledo/Zarai_Toledo_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Trent_Lott/Trent_Lott_0010.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Ashcroft/John_Ashcroft_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Ashcroft/John_Ashcroft_0040.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/John_Ashcroft/John_Ashcroft_0020.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Troy_Garity/Troy_Garity_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Dominique_de_Villepin/Dominique_de_Villepin_0007.jpg', 'Empty cropped face')
